bodyparts,,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear
coords,,x,y,likelihood,x,y,likelihood,x,y,likelihood
trial_number,frame,,,,,,,,,
0,44,92.02368,174.25952,0.5551758,102.21411,180.52704,0.48608398,104.6723,170.92017,0.7529297
0,45,92.96631,175.704,0.36547852,103.04321,180.23828,0.6196289,104.79584,171.1416,0.72314453
0,46,92.718025,174.44855,0.4038086,102.99565,181.07297,0.45385742,104.73741,171.53992,0.6230469
0,47,92.93613,175.10652,0.2824707,102.90929,180.76086,0.5263672,104.598755,171.52399,0.64990234
0,48,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,49,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,50,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,51,100.46388,182.74365,0.7285156,112.69458,180.68716,0.35131836,108.22162,172.97968,0.47387695
0,52,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,53,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,54,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,55,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,56,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,57,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,58,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,59,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,60,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,61,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,62,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,63,538.49994,466.11127,0.3708496,538.14526,465.92154,0.09832764,545.746,460.7621,0.014533997
0,64,538.4725,466.1135,0.38916016,538.1566,465.9162,0.09741211,545.7434,460.74683,0.0158844
0,65,538.484,466.10617,0.3852539,538.15137,465.91452,0.09692383,545.7425,460.74316,0.015731812
0,66,538.467,466.13565,0.35888672,539.4635,465.01367,0.09338379,545.1132,460.7511,0.015563965
0,67,537.9286,466.59018,0.36523438,539.56934,465.27695,0.091430664,545.1293,460.41443,0.012207031
0,68,538.81555,465.60254,0.3503418,539.72095,464.9954,0.12719727,544.0717,459.7328,0.009803772
0,69,537.4711,466.39676,0.33935547,539.72205,465.01706,0.12646484,544.0662,459.74133,0.009925842
0,70,107.422966,182.95123,0.32373047,111.182465,182.6845,0.44750977,110.56208,174.95825,0.57714844
0,71,107.307724,183.0237,0.46240234,112.47379,182.73306,0.47070312,110.38733,175.31769,0.6176758
0,72,537.4711,466.39676,0.33935547,539.72205,465.01706,0.12646484,544.0662,459.74133,0.009925842
0,73,537.3981,466.69147,0.34570312,539.71533,465.339,0.11743164,544.7185,460.40613,0.01210022
0,74,537.8782,466.5845,0.37426758,539.5858,465.27783,0.10235596,545.12524,460.4567,0.014625549
0,75,537.8894,466.59656,0.36865234,539.5732,465.27664,0.103515625,545.12213,460.4436,0.01386261
0,76,538.81177,465.6187,0.34521484,539.7248,464.99783,0.13146973,536.2076,454.9702,0.012275696
0,77,537.9852,466.28064,0.36450195,539.5677,464.97647,0.10736084,536.1542,454.969,0.0131073
0,78,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,79,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,80,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,81,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,82,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,83,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,84,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,85,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,86,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,87,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,88,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,89,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,90,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,91,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,92,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,93,107.791214,173.15189,0.53466797,112.00705,174.40398,0.27294922,115.62188,167.75368,0.6298828
0,94,108.00594,173.51024,0.53564453,115.16269,168.318,0.23034668,115.25017,167.83267,0.49804688
0,95,107.476425,173.88092,0.5029297,111.91669,175.1301,0.39086914,115.771034,168.00754,0.6801758
0,96,105.04605,173.36081,0.484375,112.11341,177.86801,0.6386719,114.95149,168.6778,0.6855469
0,97,104.686676,173.54422,0.48510742,111.887146,178.11316,0.5522461,114.4531,169.6755,0.52978516
0,98,106.1116,177.47083,0.27026367,111.437,177.67004,0.42407227,113.83392,169.91698,0.5576172
0,99,104.1974,173.47968,0.46313477,110.47234,176.7294,0.56933594,113.323105,169.54677,0.60253906
0,100,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,101,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,102,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,103,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
0,104,537.49866,466.39203,0.35302734,539.7195,465.02682,0.12219238,536.2023,454.97052,0.011779785
