bodyparts,,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear
coords,,x,y,likelihood,x,y,likelihood,x,y,likelihood
trial_number,frame,,,,,,,,,
0,501,203.2786,348.31708,0.90722656,203.30386,359.14722,0.6357422,209.96613,355.40863,0.859375
0,502,201.36856,343.04532,0.8383789,200.85994,353.9245,0.6796875,208.55817,350.56732,0.8652344
0,503,199.40384,339.09326,0.88623047,197.62718,349.7438,0.6801758,205.92543,346.51584,0.83935547
0,504,195.13237,336.79114,0.8457031,195.08832,347.48026,0.69140625,202.54729,343.0028,0.81347656
0,505,191.6336,334.18167,0.85546875,191.65677,344.21225,0.62939453,198.93848,340.3069,0.8041992
0,506,188.30025,331.1721,0.89404297,188.005,341.3711,0.50927734,195.1025,337.79333,0.8305664
0,507,186.77216,328.41403,0.91503906,184.63345,337.9041,0.52685547,192.47232,335.21057,0.8095703
0,508,184.05692,325.63422,0.8310547,182.77629,335.57376,0.57421875,190.71817,332.70908,0.8466797
0,509,181.59282,323.46194,0.86035156,180.86899,333.04974,0.5629883,188.52026,329.95346,0.82470703
0,510,179.52475,320.32806,0.88134766,178.64569,330.10626,0.5673828,186.44197,326.95297,0.8330078
0,511,178.16928,316.44522,0.8227539,176.33952,326.20383,0.57910156,183.52478,323.38705,0.8129883
0,512,176.66855,311.8216,0.88720703,174.24937,321.3669,0.59521484,182.10483,319.28152,0.86376953
0,513,174.75452,307.89557,0.8613281,172.09142,317.00354,0.62060547,179.9137,314.7373,0.84277344
0,514,172.05032,303.72266,0.8330078,169.39592,313.6545,0.5830078,177.57799,310.78223,0.82666016
0,515,168.4343,299.59766,0.8095703,166.36986,309.4332,0.59716797,173.81982,306.61115,0.79345703
0,516,165.34062,294.44913,0.88671875,163.05305,304.2669,0.6333008,170.90115,301.82425,0.83447266
0,517,164.2801,290.5385,0.85498047,160.9487,300.45398,0.65625,168.9162,297.67786,0.82958984
0,518,163.32591,286.34222,0.83935547,159.18268,296.5156,0.6904297,167.90875,294.23514,0.89404297
0,519,163.06154,281.79236,0.91552734,159.1049,290.28198,0.6904297,167.2243,289.98596,0.88183594
0,520,161.54994,276.86127,0.8828125,157.82384,285.6084,0.6694336,165.36111,284.9217,0.8798828
0,521,160.15106,272.4116,0.85253906,155.97269,281.02573,0.6123047,164.1057,279.7531,0.83496094
0,522,157.18507,268.81537,0.86865234,154.2374,277.79565,0.6425781,161.30423,275.86752,0.83447266
0,523,154.5109,265.76822,0.8388672,151.87877,274.7794,0.6333008,159.41974,272.88068,0.8017578
0,524,149.91608,263.88147,0.8979492,149.13588,273.2673,0.62646484,155.66074,269.6686,0.8305664
0,525,146.11253,261.59167,0.89160156,145.20993,270.71283,0.6777344,152.53447,266.94452,0.81689453
0,526,143.09578,260.03833,0.8198242,143.4379,269.27765,0.63378906,150.60117,265.3485,0.8261719
0,527,142.47723,258.5261,0.8378906,143.11891,267.89856,0.6010742,150.00482,263.96356,0.8198242
0,528,142.84529,259.09564,0.8823242,143.84679,269.17493,0.60009766,150.95615,264.7998,0.8486328
0,529,144.47379,259.69464,0.8232422,143.54852,269.7741,0.5366211,151.87152,266.98306,0.8354492
0,530,146.20972,259.97897,0.8432617,144.76338,270.98486,0.5732422,152.84076,269.23932,0.84521484
0,531,148.91684,261.16696,0.86035156,147.0937,272.2307,0.5629883,154.91434,271.44708,0.8413086
0,532,155.27832,262.18027,0.91503906,149.74223,272.36435,0.6567383,157.04703,274.0552,0.8125
0,533,162.367,265.80823,0.8852539,154.70665,275.30634,0.50146484,161.31168,277.29028,0.7817383
0,534,169.81573,270.7356,0.8701172,159.45247,277.08606,0.59277344,165.71605,281.80008,0.8491211
0,535,175.46419,273.53668,0.90722656,162.55951,279.71664,0.7607422,170.29887,284.88348,0.8222656
0,536,179.49573,274.0204,0.90625,168.32896,280.62366,0.6953125,174.39658,285.3696,0.8857422
0,537,181.2616,273.49124,0.9086914,169.4061,280.6524,0.76708984,176.63232,285.37433,0.87158203
0,538,181.25336,274.1905,0.9482422,169.53139,281.4255,0.80615234,177.2197,286.48688,0.8286133
0,539,183.14902,275.15506,0.9013672,170.58395,281.98187,0.79833984,178.7883,287.22272,0.84814453
0,540,188.31189,280.63428,0.9350586,175.5758,282.8601,0.74072266,181.7406,291.03064,0.8720703
0,541,196.77663,289.2997,0.9472656,182.39417,287.19885,0.8652344,185.75558,295.96912,0.8300781
0,542,205.5752,294.437,0.94091797,191.02655,291.27246,0.7890625,193.24991,299.59927,0.82128906
0,543,213.08537,298.6135,0.87109375,197.93591,294.78912,0.84277344,200.37488,303.6585,0.8027344
0,544,219.83147,302.12268,0.90625,205.04317,297.72925,0.7753906,206.99875,306.11847,0.81640625
0,545,228.68362,304.1934,0.8911133,214.95209,300.09494,0.7475586,215.99844,308.37393,0.7890625
0,546,239.16687,306.42264,0.9291992,225.56831,301.70447,0.81103516,225.74649,310.2482,0.82666016
0,547,248.30765,308.30646,0.9448242,234.79733,303.82898,0.8076172,235.9011,312.41098,0.8256836
0,548,257.71518,307.6198,0.94140625,244.8239,304.81793,0.74560547,246.45831,313.3224,0.7763672
0,549,265.9519,305.95816,0.9321289,252.45673,304.08713,0.7080078,254.59381,312.46942,0.85253906
0,550,274.45074,303.1643,0.9589844,261.0454,302.1426,0.6904297,263.34875,310.31754,0.77685547
0,551,284.06866,302.02527,0.9560547,271.03235,300.53613,0.76464844,272.68127,309.07095,0.83740234
0,552,291.9487,301.8266,0.9584961,278.78223,300.0121,0.7397461,280.89966,308.46777,0.8198242
0,553,300.64676,300.72736,0.9272461,287.2629,298.86896,0.7709961,289.42487,307.68427,0.74853516
0,554,308.04208,298.58368,0.9379883,294.46533,297.80396,0.7470703,297.74005,306.36673,0.8486328
0,555,315.52533,297.52692,0.9189453,302.4193,296.4021,0.4104004,305.49445,303.86548,0.85498047
0,556,323.62677,296.11942,0.9711914,310.2623,294.76187,0.5522461,312.96545,302.50684,0.8930664
0,557,332.97345,296.12256,0.95703125,321.19916,294.0086,0.7451172,322.9333,301.90268,0.7602539
0,558,340.87732,295.89615,0.9394531,329.0971,294.07004,0.7817383,330.4023,301.86658,0.83984375
0,559,349.12708,296.00195,0.93359375,337.10284,293.41687,0.8071289,338.59592,301.8749,0.8671875
0,560,357.18152,293.76538,0.97314453,345.57944,292.86816,0.75097656,347.26788,300.61618,0.8203125
0,561,363.32278,291.56085,0.92333984,352.29175,290.88385,0.7626953,354.88513,298.74033,0.84765625
