bodyparts,,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear
coords,,x,y,likelihood,x,y,likelihood,x,y,likelihood
trial_number,frame,,,,,,,,,
0,743,399.65387,191.40565,0.84277344,404.40607,200.91025,0.7426758,411.67017,195.92506,0.7626953
0,744,399.50934,190.79999,0.8408203,403.642,201.49321,0.73046875,411.31598,195.95514,0.7714844
0,745,399.63913,191.24026,0.83740234,404.38892,201.44771,0.72314453,411.7054,195.86526,0.76660156
0,746,399.69745,192.02365,0.8071289,404.4362,201.42264,0.78759766,411.66504,195.64777,0.75097656
0,747,399.77917,192.2864,0.81640625,404.50494,201.39252,0.7963867,411.5444,195.6726,0.7578125
0,748,399.9928,193.16568,0.83203125,404.00436,201.99251,0.80371094,411.43533,196.21268,0.78564453
0,749,399.87137,192.74997,0.83496094,403.96136,201.91115,0.81152344,411.4278,196.26714,0.7866211
0,750,399.7261,192.35658,0.85302734,403.93546,201.84605,0.7685547,411.44647,196.22711,0.75878906
0,751,399.45642,192.24075,0.8515625,403.67728,201.88419,0.7529297,411.1007,196.08525,0.75878906
0,752,399.42938,192.27463,0.83251953,403.61124,201.73033,0.75683594,411.1991,195.93399,0.8041992
0,753,399.4203,192.32457,0.8208008,403.6324,201.9219,0.75927734,411.21234,196.03201,0.80615234
0,754,399.30957,192.15895,0.8208008,403.67053,201.7047,0.7558594,411.18082,195.9226,0.80322266
0,755,399.19757,192.29077,0.84521484,403.7024,201.91896,0.74853516,411.1448,196.02455,0.80322266
0,756,399.06714,192.29118,0.84033203,403.70367,201.88943,0.7529297,411.13904,196.02013,0.8041992
0,757,399.01202,192.2047,0.8378906,403.7088,201.89009,0.7529297,411.1899,196.06589,0.79541016
0,758,399.34882,191.73553,0.8496094,403.29016,202.15976,0.7578125,410.91394,196.2125,0.7885742
0,759,399.2326,191.79597,0.83984375,402.89117,202.18604,0.77001953,411.04175,196.08748,0.7788086
0,760,398.9977,191.84494,0.83935547,403.19562,202.79662,0.7583008,411.14264,196.2077,0.79248047
0,761,399.07184,191.93008,0.8310547,404.2399,202.76974,0.71484375,411.23843,196.29985,0.7675781
0,762,399.07825,191.94162,0.83154297,404.29825,202.80083,0.71972656,411.16412,196.32741,0.7661133
0,763,399.13284,192.16977,0.83691406,403.70386,203.12198,0.75634766,410.74957,196.60017,0.7631836
0,764,399.0689,191.97302,0.82958984,404.3022,202.87965,0.7314453,411.02798,196.26909,0.7675781
0,765,398.86023,191.94354,0.8359375,404.17752,203.04404,0.7705078,410.87238,195.81744,0.7133789
0,766,399.09778,192.04608,0.8378906,404.61023,202.92789,0.75390625,410.97934,196.2739,0.74316406
0,767,398.70193,192.22745,0.81103516,404.25507,203.2622,0.79296875,410.85538,196.31683,0.7285156
0,768,398.84515,192.1326,0.81152344,404.27365,203.28552,0.7973633,410.87076,196.33286,0.7504883
0,769,398.5422,192.18771,0.83984375,404.14847,203.17409,0.77246094,410.71518,196.23705,0.75341797
0,770,398.61633,192.55411,0.83447266,404.2417,203.42812,0.7661133,410.59344,196.2622,0.7651367
0,771,398.19806,193.21423,0.81396484,404.0737,204.12827,0.74072266,410.70285,196.72354,0.7597656
0,772,398.53662,193.84229,0.8046875,404.70505,204.37881,0.7397461,410.63382,197.1527,0.75341797
0,773,398.01428,195.03316,0.828125,404.8211,205.18338,0.8076172,410.422,197.05789,0.72998047
0,774,397.62338,195.27263,0.7910156,404.36676,205.71524,0.79589844,410.068,197.18541,0.78759766
0,775,397.8595,196.13715,0.7763672,405.06384,206.09224,0.8144531,410.11758,197.22795,0.77490234
0,776,397.49872,195.783,0.7871094,405.0873,205.83255,0.8071289,409.75787,197.1519,0.77490234
0,777,397.53595,196.14075,0.8120117,405.28687,206.12439,0.8334961,410.02197,197.14812,0.79052734
0,778,397.58423,196.26636,0.7973633,405.3495,206.49023,0.8154297,409.9072,197.49222,0.7607422
0,779,397.57013,195.9823,0.7944336,405.20514,206.22412,0.8173828,409.81018,197.37148,0.75634766
0,780,397.51608,196.00558,0.7807617,405.30872,205.97644,0.8178711,409.91626,197.25748,0.7480469
0,781,397.59296,195.66046,0.76708984,405.23047,206.37663,0.8144531,410.02637,197.27011,0.76464844
0,782,397.52145,195.87799,0.76708984,405.2268,206.16206,0.82128906,409.95386,196.99165,0.7495117
0,783,397.56274,195.8619,0.8378906,405.37396,205.85667,0.8334961,410.06625,197.42905,0.74853516
0,784,397.42377,196.20702,0.7841797,405.33975,205.83458,0.81640625,409.81488,197.5314,0.7426758
0,785,397.51474,195.75311,0.7817383,405.0071,206.1695,0.8339844,409.93774,197.29697,0.77734375
0,786,397.23007,195.72827,0.79345703,404.4146,206.08911,0.828125,409.4975,197.46011,0.78125
0,787,397.48557,195.71417,0.7758789,404.46295,206.19894,0.8339844,409.78873,197.37451,0.80908203
0,788,397.20624,195.80817,0.8095703,405.03552,206.11606,0.8383789,409.90955,197.28656,0.7841797
0,789,397.25137,195.63495,0.7680664,404.4973,206.07782,0.83251953,409.3343,197.349,0.77783203
0,790,397.82782,195.23785,0.8120117,404.89728,205.71901,0.8261719,410.40186,197.44342,0.76416016
0,791,397.73468,194.90317,0.80029297,404.58398,205.41022,0.7705078,410.26605,197.34409,0.7470703
0,792,398.0424,194.81665,0.7871094,404.6076,205.05927,0.74072266,410.24573,197.5333,0.734375
0,793,399.09122,193.4255,0.79248047,404.0932,204.23653,0.73339844,410.57477,197.20546,0.7651367
0,794,400.26724,192.17761,0.82421875,403.93658,202.01315,0.77978516,410.88275,196.21234,0.7246094
0,795,401.7231,190.24597,0.8930664,404.2202,199.77354,0.8100586,410.22226,194.61601,0.75097656
0,796,402.55194,189.15627,0.86035156,404.2259,198.67845,0.82470703,410.3896,192.98447,0.7763672
0,797,404.41666,186.5917,0.84521484,404.39453,196.40598,0.7832031,411.4489,192.06345,0.77246094
0,798,405.51022,185.58907,0.8310547,403.96188,194.92621,0.79589844,411.60162,192.23969,0.81347656
0,799,406.18274,187.5576,0.8388672,404.32153,195.67302,0.8041992,412.05597,193.26285,0.69433594
0,800,407.1276,187.8028,0.85302734,404.75592,195.59404,0.80078125,411.34497,192.90063,0.65234375
0,801,405.39557,187.65448,0.84472656,405.12192,196.11024,0.78466797,412.4983,192.87177,0.7060547
0,802,403.5324,186.09122,0.85498047,404.56448,195.49648,0.8383789,411.4968,192.14728,0.68066406
0,803,401.69647,184.49161,0.9013672,403.93585,194.54529,0.80615234,410.73407,190.92131,0.7758789
